date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-05-07,106.7191,108.596,106.6813,108.2376,3300160,3300160,1.1978,1.119,108.0812,"May 7, 15",0.5856456624509784
2015-05-08,109.3363,109.9636,108.5111,109.1053,3065991,3065991,0.867711,0.802,109.2218,"May 8, 15",0.5983571854458407
2015-05-11,109.0393,109.209,108.1998,108.247,3376389,3376389,-0.858278,-0.787,108.5512,"May 11, 15",0.5857833693959498
2015-05-12,107.7377,108.5394,107.3604,108.1244,3844554,3844554,-0.122614,-0.113,108.0971,"May 12, 15",0.5839873192413224
2015-05-13,108.1055,109.69,108.1055,109.275,3667715,3667715,1.1507,1.064,109.1156,"May 13, 15",0.6008432352928249
2015-05-14,110.52,111.8782,109.6052,111.7933,4771391,4771391,2.5182,2.305,111.275,"May 14, 15",0.6377355118376697
2015-05-15,112.0291,112.5667,111.5858,112.5478,3083804,3083804,0.754532,0.675,112.0815,"May 15, 15",0.6487886916228761
2015-05-18,112.4441,113.1609,112.0891,112.9911,2824661,2824661,0.443286,0.394,112.798,"May 18, 15",0.6552828925490287
2015-05-19,113.01,114.2455,112.8874,113.6985,3554852,3554852,0.707373,0.626,113.7826,"May 19, 15",0.6656460726418783
2015-05-20,113.8683,114.9246,113.208,114.3493,3379166,3379166,0.650786,0.572,114.2418,"May 20, 15",0.6751800811298999
2015-05-21,113.8966,113.972,113.2269,113.6136,2983475,2983475,-0.735671,-0.643,113.6484,"May 21, 15",0.6644023152346364
