,Date,Close, Volume, Open, High, Low
2232,2019-01-10,153.8," 35,661,200.00 ",152.5,153.97,150.86
2233,2019-01-11,152.29," 26,924,630.00 ",152.88,153.7,151.51
2234,2019-01-14,150.0," 32,018,540.00 ",150.85,151.27,149.22
2235,2019-01-15,153.07," 28,449,940.00 ",150.27,153.39,150.05
2236,2019-01-16,154.94," 30,483,120.00 ",153.08,155.88,153.0
2237,2019-01-17,155.86," 29,616,190.00 ",154.2,157.66,153.26
2238,2019-01-18,156.82," 33,259,460.00 ",157.5,157.88,155.98
2239,2019-01-22,153.3," 30,273,990.00 ",156.41,156.73,152.62
2240,2019-01-23,153.92," 23,046,560.00 ",154.15,155.14,151.7
2241,2019-01-24,152.7," 25,418,110.00 ",154.11,154.48,151.74
2242,2019-01-25,157.76," 33,508,960.00 ",155.48,158.13,154.32
2243,2019-01-28,156.3," 26,147,280.00 ",155.79,156.33,153.66
2244,2019-01-29,154.68," 39,914,850.00 ",156.25,158.13,154.11
2245,2019-01-30,165.25," 60,800,480.00 ",163.25,166.15,160.23
2246,2019-01-31,166.44," 40,613,260.00 ",166.11,169.0,164.56
2247,2019-02-01,166.52," 32,644,590.00 ",166.96,168.98,165.93
2248,2019-02-04,171.25," 31,384,720.00 ",167.41,171.66,167.28
2249,2019-02-05,174.18," 36,054,570.00 ",172.86,175.08,172.35
2250,2019-02-06,174.24," 28,204,640.00 ",174.65,175.57,172.85
2251,2019-02-07,170.94," 31,644,240.00 ",172.4,173.94,170.34
2252,2019-02-08,170.41," 23,793,830.00 ",168.99,170.66,168.42
2253,2019-02-11,169.43," 20,940,020.00 ",171.05,171.21,169.25
2254,2019-02-12,170.89," 22,224,400.00 ",170.1,171.0,169.7
2255,2019-02-13,170.18," 22,389,660.00 ",171.39,172.48,169.92
2256,2019-02-14,170.8," 21,785,180.00 ",169.71,171.26,169.38
2257,2019-02-15,170.42," 24,603,320.00 ",171.25,171.7,169.75
2258,2019-02-19,170.93," 18,958,570.00 ",169.71,171.44,169.49
2259,2019-02-20,172.03," 25,323,890.00 ",171.19,173.32,170.99
2260,2019-02-21,171.06," 17,154,540.00 ",171.8,172.37,170.3
2261,2019-02-22,172.97," 18,890,250.00 ",171.58,173.0,171.38
2262,2019-02-25,174.23," 21,846,400.00 ",174.16,175.87,173.95
2263,2019-02-26,174.33," 16,991,610.00 ",173.71,175.3,173.17
2264,2019-02-27,174.87," 27,817,640.00 ",173.21,175.0,172.73
2265,2019-02-28,173.15," 27,953,810.00 ",174.32,174.91,172.92
2266,2019-03-01,174.97," 25,737,560.00 ",174.28,175.15,172.89
2267,2019-03-04,175.85," 27,413,060.00 ",175.69,177.75,173.97
2268,2019-03-05,175.53," 19,238,480.00 ",175.94,176.0,174.54
2269,2019-03-06,174.52," 20,755,140.00 ",174.67,175.49,173.94
2270,2019-03-07,172.5," 24,755,470.00 ",173.87,174.44,172.02
2271,2019-03-08,172.91," 23,985,960.00 ",170.32,173.07,169.5
2272,2019-03-11,178.9," 31,123,000.00 ",175.49,179.12,175.35
2273,2019-03-12,180.91," 32,416,800.00 ",180.0,182.67,179.37
2274,2019-03-13,181.71," 30,929,740.00 ",182.25,183.3,180.92
2275,2019-03-14,183.73," 23,527,660.00 ",183.9,184.1,182.56
2276,2019-03-15,186.12," 39,017,490.00 ",184.85,187.33,183.74
2277,2019-03-18,188.02," 26,148,590.00 ",185.8,188.39,185.79
2278,2019-03-19,186.53," 31,440,300.00 ",188.35,188.99,185.92
2279,2019-03-20,188.16," 31,003,380.00 ",186.23,189.49,184.73
2280,2019-03-21,195.09," 50,943,120.00 ",190.02,196.33,189.81
2281,2019-03-22,191.05," 42,287,640.00 ",195.34,197.69,190.78
2282,2019-03-25,188.74," 43,751,810.00 ",191.51,191.98,186.6
2283,2019-03-26,186.79," 49,696,100.00 ",191.66,192.88,184.58
2284,2019-03-27,188.47," 29,771,210.00 ",188.75,189.76,186.55
2285,2019-03-28,188.72," 20,710,390.00 ",188.95,189.56,187.53
2286,2019-03-29,189.95," 23,524,830.00 ",189.83,190.08,188.54
2287,2019-04-01,191.24," 27,308,200.00 ",191.64,191.68,188.38
2288,2019-04-02,194.02," 22,727,370.00 ",191.09,194.46,191.05
2289,2019-04-03,195.35," 23,243,160.00 ",193.25,196.5,193.15
2290,2019-04-04,195.69," 19,090,050.00 ",194.79,196.37,193.14
2291,2019-04-05,197.0," 18,473,070.00 ",196.45,197.1,195.93
2292,2019-04-08,200.1," 25,829,880.00 ",196.42,200.23,196.34
2293,2019-04-09,199.5," 35,738,280.00 ",200.32,202.85,199.23
2294,2019-04-10,200.62," 21,654,750.00 ",198.68,200.74,198.18
2295,2019-04-11,198.95," 20,543,190.00 ",200.85,201.0,198.44
2296,2019-04-12,198.87," 27,738,580.00 ",199.2,200.14,196.21
2297,2019-04-15,199.23," 17,524,150.00 ",198.58,199.85,198.01
2298,2019-04-16,199.25," 25,668,330.00 ",199.46,201.37,198.56
2299,2019-04-17,203.13," 28,865,310.00 ",199.54,203.38,198.61
2300,2019-04-18,203.86," 24,185,530.00 ",203.12,204.15,202.52
2301,2019-04-22,204.53," 17,841,920.00 ",202.83,204.94,202.34
2302,2019-04-23,207.48," 23,286,380.00 ",204.43,207.75,203.9
2303,2019-04-24,207.16," 17,427,570.00 ",207.36,208.48,207.05
2304,2019-04-25,205.28," 18,463,850.00 ",206.83,207.76,205.12
2305,2019-04-26,204.3," 18,612,770.00 ",204.9,205.0,202.12
2306,2019-04-29,204.61," 22,010,360.00 ",204.4,205.97,203.86
2307,2019-04-30,200.67," 45,751,160.00 ",203.06,203.4,199.11
2308,2019-05-01,210.52," 64,827,330.00 ",209.88,215.31,209.23
2309,2019-05-02,209.15," 31,996,320.00 ",209.84,212.65,208.13
2310,2019-05-03,211.75," 20,892,380.00 ",210.89,211.84,210.23
2311,2019-05-06,208.48," 32,443,110.00 ",204.29,208.84,203.5
2312,2019-05-07,202.86," 38,763,700.00 ",205.88,207.42,200.83
2313,2019-05-08,202.9," 26,339,500.00 ",201.9,205.34,201.75
2314,2019-05-09,200.72," 34,908,610.00 ",200.4,201.68,196.66
2315,2019-05-10,197.18," 41,208,710.00 ",197.42,198.85,192.77
2316,2019-05-13,185.72," 57,430,620.00 ",187.71,189.48,182.85
2317,2019-05-14,188.66," 36,529,680.00 ",186.41,189.7,185.41
2318,2019-05-15,190.92," 26,544,720.00 ",186.27,191.75,186.02
2319,2019-05-16,190.08," 33,031,360.00 ",189.91,192.47,188.84
2320,2019-05-17,189.0," 32,879,090.00 ",186.93,190.9,186.76
2321,2019-05-20,183.09," 38,612,290.00 ",183.52,184.35,180.28
2322,2019-05-21,186.6," 28,364,850.00 ",185.22,188.0,184.7
2323,2019-05-22,182.78," 29,748,560.00 ",184.66,185.71,182.55
2324,2019-05-23,179.66," 36,529,740.00 ",179.8,180.54,177.81
2325,2019-05-24,178.97," 23,714,690.00 ",180.2,182.14,178.62
2326,2019-05-28,178.23," 27,948,160.00 ",178.92,180.59,177.91
2327,2019-05-29,177.38," 28,481,170.00 ",176.42,179.35,176.0
2328,2019-05-30,178.3," 21,218,410.00 ",177.95,179.23,176.67
2329,2019-05-31,175.07," 27,043,580.00 ",176.23,177.99,174.99
2330,2019-06-03,173.3," 40,396,070.00 ",175.6,177.92,170.27
2331,2019-06-04,179.64," 30,967,960.00 ",175.44,179.83,174.52
2332,2019-06-05,182.54," 29,773,430.00 ",184.28,184.99,181.14
2333,2019-06-06,185.22," 22,526,310.00 ",183.08,185.47,182.15
2334,2019-06-07,190.15," 30,684,390.00 ",186.51,191.92,185.77
2335,2019-06-10,192.58," 26,220,850.00 ",191.81,195.37,191.62
2336,2019-06-11,194.81," 26,932,880.00 ",194.86,196.0,193.6
2337,2019-06-12,194.19," 18,253,190.00 ",193.95,195.97,193.39
2338,2019-06-13,194.15," 21,674,630.00 ",194.7,196.79,193.6
2339,2019-06-14,192.74," 18,761,470.00 ",191.55,193.59,190.3
2340,2019-06-17,193.89," 14,669,140.00 ",192.9,194.96,192.17
2341,2019-06-18,198.45," 26,551,000.00 ",196.05,200.29,195.21
2342,2019-06-19,197.87," 21,124,240.00 ",199.68,199.88,197.31
2343,2019-06-20,199.46," 21,513,990.00 ",200.37,200.61,198.03
2344,2019-06-21,198.78," 47,800,590.00 ",198.8,200.85,198.15
2345,2019-06-24,198.58," 18,220,420.00 ",198.54,200.16,198.17
2346,2019-06-25,195.57," 21,070,330.00 ",198.43,199.26,195.29
2347,2019-06-26,199.8," 26,067,510.00 ",197.77,200.99,197.35
