,Date,Open,High,Low,Close,Volume
912,2018-11-12,109.42,109.96,106.1,106.87,33621807
913,2018-11-13,107.55,108.74,106.64,106.94,35374583
914,2018-11-14,108.1,108.26,104.47,104.97,39495141
915,2018-11-15,104.99,107.8,103.91,107.28,38505165
916,2018-11-16,107.08,108.88,106.8,108.29,33502121
917,2018-11-19,108.27,108.56,103.55,104.62,44773899
918,2018-11-20,101.8,102.97,99.35,101.71,64052457
919,2018-11-21,103.6,104.43,102.24,103.11,28130621
920,2018-11-23,102.17,103.81,102.0,103.07,13823099
921,2018-11-26,104.79,106.63,104.58,106.47,32336165
922,2018-11-27,106.27,107.33,105.36,107.14,29124486
923,2018-11-28,107.89,111.33,107.86,111.12,46788461
924,2018-11-29,110.33,111.12,109.03,110.19,28123195
925,2018-11-30,110.7,110.97,109.36,110.89,33665624
926,2018-12-03,113.0,113.42,110.73,112.09,34732772
927,2018-12-04,111.94,112.64,108.21,108.52,45196984
928,2018-12-06,105.82,109.24,105.0,109.19,49107431
929,2018-12-07,108.38,109.45,104.3,104.82,45044937
930,2018-12-10,104.8,107.98,103.89,107.59,40801525
931,2018-12-11,109.8,110.95,107.44,108.59,42381947
932,2018-12-12,110.89,111.27,109.04,109.08,36183020
933,2018-12-13,109.58,110.87,108.63,109.45,31333362
934,2018-12-14,108.25,109.26,105.5,106.03,47043136
935,2018-12-17,105.41,105.8,101.71,102.89,56957314
936,2018-12-18,103.75,104.51,102.52,103.97,49319196
937,2018-12-19,103.65,106.88,101.35,103.69,68198186
938,2018-12-20,103.05,104.31,98.78,101.51,70334184
939,2018-12-21,101.63,103.0,97.46,98.23,111242070
940,2018-12-24,97.68,97.97,93.98,94.13,43935192
941,2018-12-26,95.14,100.69,93.96,100.56,51634793
942,2018-12-27,99.3,101.19,96.4,101.18,49498509
943,2018-12-28,102.09,102.41,99.52,100.39,38169312
944,2018-12-31,101.29,102.4,100.44,101.57,33173765
945,2019-01-02,99.55,101.75,98.94,101.12,35329345
946,2019-01-03,100.1,100.19,97.2,97.4,42578410
947,2019-01-04,99.72,102.51,98.93,101.93,44060620
948,2019-01-07,101.64,103.27,100.98,102.06,35656136
949,2019-01-08,103.04,103.97,101.71,102.8,31514415
950,2019-01-09,103.86,104.88,103.24,104.27,32280840
951,2019-01-10,103.22,103.75,102.38,103.6,30067556
952,2019-01-11,103.19,103.44,101.64,102.8,28314202
953,2019-01-14,101.9,102.87,101.26,102.05,28437079
954,2019-01-15,102.51,105.05,101.88,105.01,31587616
